Accesion	Protein Description	Genes	# of Peptides	1-sort	2-sort	3-sort	4-sort		1-unsort	2-unsort	3-unsort	4-unsort
O88447	Kinesin light chain 1	Klc1	18	3943650	4292720	4205390	5465200		4660650	4457930	3982070	5360620
G5E829	Plasma membrane calcium-transporting ATPase 1	Atp2b1	32	4465570	4292110	4865330	4142620		4408610	4378870	4665950	4325900
P39447	Tight junction protein ZO-1	Tjp1	61	5146950	4290700	5188030	5605100		5133710	4627430	5088320	5192540
Q3UMU9	Hepatoma-derived growth factor-related protein 2	Hdgfl2	19	5219620	4290390	4314990	3866200		5058900	4377120	4142920	3541720
Q6P9R2;Q9Z1W9	Serine/threonine-protein kinase OSR1	Oxsr1;Stk39	4	5906680	4290150	7306780	5448940		5882740	4317780	6086340	6145420
Q9DBL1	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	Acadsb	15	5411400	4287190	6020430	4724260		4968250	4519140	6109630	5105300
Q91V01	Lysophospholipid acyltransferase 5	Lpcat3	8	5021410	4287100	4625810	5372550		4173380	4225040	4530800	5876970
A2ADY9	Protein DDI1 homolog 2	Ddi2	13	4579500	4285320	5209330	4583230		4982530	4761650	4264210	4890730
Q9DBF1	Alpha-aminoadipic semialdehyde dehydrogenase	Aldh7a1	20	3654540	4273830	4550020	4924010		3797250	3867610	4980900	5349910
Q3U7R1	Extended synaptotagmin-1	Esyt1	39	6454160	4268870	8737960	8025510		6141490	4285030	8594050	8127220
Q9D903	Probable rRNA-processing protein EBP2	Ebna1bp2	16	5049070	4268250	4876600	4756260		4507430	4599550	4605880	4625510
Q9ER88	"28S ribosomal protein S29, mitochondrial"	Dap3	17	4410170	4267020	5300880	5368550		4300310	4327920	5011670	4957590
Q8BH74	Nuclear pore complex protein Nup107	Nup107	40	4080470	4261510	4456490	4906440		3994280	4207140	3950640	4642130
Q8JZQ2;Q920A7	AFG3-like protein 2	Afg3l1;Afg3l2	4	4728510	4260370	3883550	3185770		4618470	3942090	3441570	3300850
Q8BHS3	Pre-mRNA-splicing factor RBM22	Rbm22	16	3188430	4254130	4127180	3868230		3291600	3480710	3697530	3643540
Q569Z5	Probable ATP-dependent RNA helicase DDX46	Ddx46	47	4573500	4250040	5147610	4078290		5168290	4591770	4516760	3879210
Q8VE88	Protein FAM114A2	Fam114a2	18	4119310	4242140	5066000	4937410		4580410	4276820	4721440	5102890
Q9D281	Protein Noxp20	Fam114a1	22	5553880	4241690	6450720	4903370		5237820	3886340	6159690	5033430
P06801	NADP-dependent malic enzyme	Me1	28	3735980	4241060	6916330	5310530		4381440	4343480	7317300	5796350
Q8VCG3	WD repeat-containing protein 74	Wdr74	18	3544770	4235790	3776210	2663770		3619760	4411690	2475750	3080100
Q9CQJ4	E3 ubiquitin-protein ligase RING2	Rnf2	12	3584460	4234890	4163180	4255140		4167260	3966270	3750300	4455360
Q8K4B0;Q924K8	Metastasis-associated protein MTA1	Mta1;Mta3	4	4669340	4223750	1891720	1930120		3270230	3639500	2341400	2192880
Q03147	Cyclin-dependent kinase 7	Cdk7	8	3582680	4220610	3459640	3683600		4142870	4543590	2569680	4361510
Q8R3N6	THO complex subunit 1	Thoc1	31	4532030	4219870	4179960	3762050		4310350	4228670	3454040	3439730
Q61749	Translation initiation factor eIF-2B subunit delta	Eif2b4	20	4801890	4219400	4792470	4773320		4558470	4534040	4589040	4826680
A2ASS6	Titin	Ttn	1634	4310000	4215120	2734950	993772		4348920	6429920	7.64E+07	5344610
P31001	Desmin	Des	28	495887	4213070	574884	2224280		302050	493306	7549100	1129900
Q922U1	U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	32	4324810	4212590	4181260	3909640		3624890	4224420	3883290	3603570
Q8BRF7	Sec1 family domain-containing protein 1	Scfd1	27	4192970	4210000	5000570	5249270		3912170	3868200	5326890	4771560
P35762	CD81 antigen	Cd81	5	3387630	4209960	6579350	2752960		4382410	3770180	3665700	3852200
Q8JZV7	N-acetylglucosamine-6-phosphate deacetylase	Amdhd2	10	3251680	4206620	3127650	3008800		3441170	4148430	2332360	3708990
O55201	Transcription elongation factor SPT5	Supt5h	47	4188540	4205070	3896730	3874490		4005300	4207990	3657280	3777410
Q8BUK6	Protein Hook homolog 3	Hook3	32	4794130	4204020	4724990	4857940		4515020	4568950	4737240	4726160
Q5RL79	Keratinocyte-associated protein 2	Krtcap2	1	4359700	4203910	6849260	5733370		4111440	3660080	6332700	4895200
A2AN08	E3 ubiquitin-protein ligase UBR4	Ubr4	171	3913190	4203290	4558600	4503010		4154130	4240790	3963210	4469820
P60670	Nuclear protein localization protein 4 homolog	Nploc4	25	4270800	4202450	4306600	3809850		3885370	4238870	4573160	4334160
P24270	Catalase	Cat	26	4984680	4199810	5257330	4066620		4926640	4025020	5154660	4336510
Q6ZWZ2	Ubiquitin-conjugating enzyme E2 R2	Ube2r2	7	3058750	4198330	2450700	3069540		3005170	3680410	3119560	3562750
O35945;P24549;P47738	"Aldehyde dehydrogenase, cytosolic 1"	Aldh1a1;Aldh1a7;Aldh2	2	6267590	4197790	6952960	5790200		6218970	3150550	7779170	5742090
O35609	Secretory carrier-associated membrane protein 3	Scamp3	11	4464710	4197260	3586410	4035850		3612370	4411040	3648180	3355750
P54729	NEDD8 ultimate buster 1	Nub1	29	4154640	4197250	3892190	2962700		4355230	4312310	3006970	3221580
Q8VDP6	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Cdipt	5	1260140	4196270	3826920	4150200		1910360	3048150	3510730	4244610
Q8BFY6	Peflin	Pef1	7	4411310	4193450	5711530	2024930		3966960	3947920	2286690	3194570
P14576	Signal recognition particle 54 kDa protein	Srp54	29	4209770	4188600	4482530	4873800		4236000	4547950	4219680	4799790
Q9D753	Exosome complex component RRP43	Exosc8	10	4226210	4186820	4238150	4093220		4319410	4601090	3458830	4216030
Q99N87	"28S ribosomal protein S5, mitochondrial"	Mrps5	17	4867380	4182380	5497980	4915680		4432660	3963950	5440110	4858160
Q921S7	"39S ribosomal protein L37, mitochondrial"	Mrpl37	22	4434930	4180730	5114740	4688810		4268070	4371970	4566250	4750560
P43135	COUP transcription factor 2	Nr2f2	6	4269360	4176830	4815400	2172170		3872890	3656650	4036450	2608050
Q02788	Collagen alpha-2(VI) chain	Col6a2	25	4258900	4175180	3532090	2297370		4379680	4443160	5911810	2677810
P50096	Inosine-5'-monophosphate dehydrogenase 1	Impdh1	13	3745620	4174110	3338540	4218520		3220580	3495710	2806420	4112520
Q9EQP2	EH domain-containing protein 4	Ehd4	20	4007050	4173700	5720150	4945390		4026120	4201430	5857480	5231050
Q9D0F6	Replication factor C subunit 5	Rfc5	17	4248640	4172580	4750730	4093780		4471400	4292470	3907140	4002880
Q3TCN2	Putative phospholipase B-like 2	Plbd2	13	2130360	4165020	2783980	3731270		2086390	3764850	2907570	4586660
Q62074	Protein kinase C iota type	Prkci	16	3570580	4164860	3456240	3201590		3406020	4058350	2804430	3454850
Q99KD5	Protein unc-45 homolog A	Unc45a	40	2949140	4163900	2626980	3501500		3143490	4009070	2467930	3300100
Q61810	Latent-transforming growth factor beta-binding protein 3	Ltbp3	27	5022490	4160080	4325180	1501940		4482470	4253510	2197450	2082920
Q920A7	AFG3-like protein 1	Afg3l1	28	4942340	4156950	4739530	5223000		4385200	4092590	4625140	5014900
Q8K0C9	"GDP-mannose 4,6 dehydratase"	Gmds	20	4009780	4156340	4711640	3715930		4173850	3924010	3958660	3957530
Q99LC2	Cleavage stimulation factor subunit 1	Cstf1	15	4090280	4154990	4422430	3569480		3923400	4065140	3345740	3438770
P70336	Rho-associated protein kinase 2	Rock2	58	4810670	4154280	4549170	4558390		4484780	4422240	4237890	4682190
Q61235	Beta-2-syntrophin	Sntb2	18	4261450	4150230	4080880	3562840		4257230	4023610	3820640	3609100
Q9CZX9	ER membrane protein complex subunit 4	Emc4	5	2545940	4148880	4689330	4525580		3013350	2736940	3348300	4985760
Q9JKB1	Ubiquitin carboxyl-terminal hydrolase isozyme L3	Uchl3	12	3925920	4145730	8297890	5203770		4490080	4680480	6801740	6635120
O88325	Alpha-N-acetylglucosaminidase	Naglu	21	3024540	4145480	3625360	5559860		3312000	3859350	3928580	6532170
Q6A026	Sister chromatid cohesion protein PDS5 homolog A	Pds5a	52	4719150	4142650	4627200	4294650		4180140	3728970	3924260	4154760
O88967	ATP-dependent zinc metalloprotease YME1L1	Yme1l1	22	3731370	4142330	3600120	4921630		3231010	4178410	3420120	5174760
Q9CQW0	ER membrane protein complex subunit 6	Emc6	2	3180700	4137070	1766640	3233060		4060400	3729910	3433720	2739270
Q8C8U0	Liprin-beta-1	Ppfibp1	53	4164820	4137030	4853330	4522180		4179070	4326530	5183430	4575640
Q9EP97	Sentrin-specific protease 3	Senp3	18	3947510	4136510	4927090	5673770		3749170	3859970	4903930	5238450
Q8VEH3;Q9CQW2	ADP-ribosylation factor-like protein 8A	Arl8a;Arl8b	6	1789050	4133980	2787550	6004010		2012010	2558910	3801700	4938440
Q9JLV5	Cullin-3	Cul3	48	4579430	4133310	4355470	4023400		4679780	4654560	4077810	3983780
D3YZZ5	Transmembrane p24-trafficking protein 7	Tmed7	8	3657680	4133040	6241530	4516640		3722730	3597640	4928720	5417890
Q8VHI3	GDP-fucose protein O-fucosyltransferase 2	Pofut2	14	5179190	4127460	5407160	3952820		5130790	3617490	4326040	3986250
Q60631	Growth factor receptor-bound protein 2	Grb2	15	4298600	4126530	5002110	4986430		3902110	4035820	4719820	5484330
P22907	Porphobilinogen deaminase	Hmbs	17	4068540	4125490	4579330	5574550		4761940	4261020	3733340	4316620
P11688	Integrin alpha-5	Itga5	24	3442550	4122860	3878500	3442600		3332440	3927600	3343510	3709840
Q91VZ6	Stromal membrane-associated protein 1	Smap1	7	3689550	4116670	3746650	3487880		4127980	4013860	2857000	3907980
Q9QZN4	F-box only protein 6	Fbxo6	9	4411770	4116620	4766190	3041910		5512060	5117040	3822190	3747030
O35130	Ribosomal RNA small subunit methyltransferase NEP1	Emg1	13	2795240	4113590	5295240	4494350		3706580	4058500	4166860	4739780
Q5RJG1	Nucleolar protein 10	Nol10	24	3388630	4108490	3001550	3273700		3478890	3849450	2477740	2725270
Q99J99	3-mercaptopyruvate sulfurtransferase	Mpst	14	4295100	4105790	4791080	4780880		4534020	3798080	5365010	4858600
Q8R349	Cell division cycle protein 16 homolog	Cdc16	20	4442520	4103990	5240940	4571170		4411980	4014120	4553610	4691360
Q9D8Y0	EF-hand domain-containing protein D2	Efhd2	12	4356160	4102520	4269640	4971590		4289060	4121550	4359800	5007370
Q8BGZ4	Cell division cycle protein 23 homolog	Cdc23	25	3569000	4100980	4153950	3499150		3792710	3546130	3271300	3468670
P28738;P33175;Q61768	Kinesin heavy chain isoform 5C	Kif5a;Kif5b;Kif5c	10	4015890	4100800	3793650	5108580		4496280	4470780	4120920	4934490
Q9CWG9	Biogenesis of lysosome-related organelles complex 1 subunit 2	Bloc1s2	4	1434880	4098130	1132640	1504970		1392910	NaN	1308370	NaN
Q4FK66	Pre-mRNA-splicing factor 38A	Prpf38a	8	4220630	4096630	4247940	3695530		4067850	4013880	3531830	3835030
Q99J95	Cyclin-dependent kinase 9	Cdk9	15	3871440	4093800	4848830	4880470		3694640	3808370	3901310	4893150
Q8R2N2	U3 small nucleolar RNA-associated protein 4 homolog	Utp4	19	3303280	4090320	4055830	3919110		3378100	3991130	3189390	3941780
Q8CBW3	Abl interactor 1	Abi1	13	3917190	4085170	5116330	4129480		3843260	4115630	4701400	4247300
Q8BGT5	Alanine aminotransferase 2	Gpt2	21	6873850	4083380	8226450	3705410		6894930	3795420	6410290	3989150
Q9CQQ8	U6 snRNA-associated Sm-like protein LSm7	Lsm7	4	6346550	4076270	6089520	1943760		5442260	4796830	2832450	3336170
Q9CQR6	Serine/threonine-protein phosphatase 6 catalytic subunit	Ppp6c	13	3049410	4070400	3937960	3330960		3172580	3301720	2878800	4087930
Q6PB44	Tyrosine-protein phosphatase non-receptor type 23	Ptpn23	54	3868380	4069910	4057550	4590880		4000160	4241540	3758670	4678360
Q80ZX0	"Sec24-related gene family, member B (S. cerevisiae)"	Sec24b	31	4088410	4068760	4780330	4513110		4285930	4246260	4595630	5001400
Q8CEC0	Nuclear pore complex protein Nup88	Nup88	21	4340120	4066400	3777330	3469300		4091090	4228010	3425600	3657190
Q8BH43	Wiskott-Aldrich syndrome protein family member 2	Wasf2	10	4548820	4064780	5820530	4712310		4466710	3838160	5261670	5187990
Q9D3P8	Plasminogen receptor (KT)	Plgrkt	7	3569770	4064210	2957020	3519730		3464820	4226300	3230010	3952090
Q3TLH4	Protein PRRC2C	Prrc2c	79	4734500	4060580	3552760	3715940		4500140	4581470	3293710	3681090
P39054	Dynamin-2	Dnm2	29	4117690	4057820	5647870	5308800		4255400	3967130	5305460	6153890
Q9D338	"39S ribosomal protein L19, mitochondrial"	Mrpl19	10	3659160	4053790	4891110	5386060		3294390	3250090	5027580	5461980
Q640N1	Adipocyte enhancer-binding protein 1	Aebp1	24	2815170	4051250	2301820	3298470		2949380	3951650	2185260	3541520
Q9CXL3	Uncharacterized protein C7orf50 homolog		7	4370640	4050880	3093740	3666960		4239450	4228380	3407290	3786610
Q8BHK9	DNA excision repair protein ERCC-6-like	Ercc6l	38	3608990	4042280	2851820	4383240		3502490	4316620	2683060	4217800
Q9ESW4	"Acylglycerol kinase, mitochondrial"	Agk	17	3929620	4038430	4993740	4802530		3669390	3850890	4948570	4556830
Q9JIY5	"Serine protease HTRA2, mitochondrial"	Htra2	14	5192420	4037730	7751680	6521220		4571490	3669400	7346260	6448210
Q3TXU5	Deoxyhypusine synthase	Dhps	15	3164350	4035190	2781560	3151950		3125430	3797170	2564780	3242150
Q9CQU3	Protein RER1	Rer1	8	3863090	4032760	3724560	4207570		3612680	3793840	3303440	3693490
Q9JLI8	Squamous cell carcinoma antigen recognized by T-cells 3	Sart3	39	4018770	4032570	4856200	4433930		4090850	3822260	4425430	4496360
F8VPU2	"FERM, ARHGEF and pleckstrin domain-containing protein 1"	Farp1	34	4134800	4031570	5238980	4504390		4234390	3731260	4989770	4654480
P56380	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	Nudt2	9	4335100	4028880	4623130	4141140		4473550	4010070	3860880	4323470
Q9DCE5	p21-activated protein kinase-interacting protein 1	Pak1ip1	17	2942980	4024760	3549990	3846520		3226750	4133650	3094650	3622290
O54988;O55098	STE20-like serine/threonine-protein kinase	Slk;Stk10	2	3894650	4024500	4797490	2713760		3093890	3355340	3135360	3623830
Q99KN9	Clathrin interactor 1	Clint1	19	4230530	4023740	4352340	4507130		4500210	4449660	4476110	4424020
Q91ZW2	GDP-fucose protein O-fucosyltransferase 1	Pofut1	15	3728270	4022990	4661860	5120730		4067900	3653090	4373890	5176220
Q8CGC6	RNA-binding protein 28	Rbm28	28	3242970	4022650	3517670	3984350		3424950	4000010	3071620	3707810
Q80X82	Symplekin	Sympk	45	3601280	4020960	3373700	3774720		2940520	3374250	2982650	3473210
Q64191	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	Aga	4	4898720	4012390	4396490	2386070		4371940	4434850	2678910	3948280
Q8C4B4;Q9Z2R6	Protein unc-119 homolog B	Unc119;Unc119b	1	3681870	4012040	3463110	4763870		4020490	3647560	3259960	4197690
P56376	Acylphosphatase-1	Acyp1	7	3988680	4009250	6750870	6417130		4032180	3381390	6042120	6252920
O08759	Ubiquitin-protein ligase E3A	Ube3a	35	4903240	4009130	5076730	4942220		4809730	4171210	4634420	4757080
P51432	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"	Plcb3	44	5722140	4006500	5214850	4356740		5647870	4072880	4823400	4508880
Q8C2E7	WASH complex subunit 5	Washc5	55	2899000	4005410	3918920	4123990		3205780	3571430	3566670	4385960
Q8VHR5	Transcriptional repressor p66-beta	Gatad2b	22	4588990	4003620	3734220	3842520		4810500	4168580	3312510	3639900
Q9WVM1	Rac GTPase-activating protein 1	Racgap1	19	3694140	4000170	2692910	3948570		3727000	4746490	2007210	3612940
Q9R0Q3	Transmembrane emp24 domain-containing protein 2	Tmed2	7	3527790	3997800	3414340	2581500		3441870	3188970	3070550	2350390
Q05BC3	Echinoderm microtubule-associated protein-like 1	Eml1	26	3844920	3996940	5409350	3416340		3923590	3899560	5263730	3504870
Q9D115	Zinc finger protein 706	Znf706	3	2400510	3996920	2480610	1048610		2784240	2954140	571440	1281710
Q99J36	THUMP domain-containing protein 1	Thumpd1	17	3860540	3995460	5473560	4335350		3965000	4151110	4576390	4463490
Q9R1Z8	Vinexin	Sorbs3	16	3810470	3990670	5679320	5137580		4434360	4414070	5764580	5077830
Q8C0L0	Thioredoxin-related transmembrane protein 4	Tmx4	7	5140730	3987320	5584690	4794820		4886780	4214330	5427050	4508880
Q4VA53;Q6A026	Sister chromatid cohesion protein PDS5 homolog B	Pds5a;Pds5b	5	4167840	3985550	5033560	3861330		4111530	3971340	4199040	4363090
Q9QXS6	Drebrin	Dbn1	23	4800170	3983120	5957730	5113660		5376390	4140970	5846230	5391030
Q8BQ30	Phostensin	Ppp1r18	27	4896970	3979670	5272740	4688810		4894840	4650140	5066420	4550370
Q6P6M7	O-phosphoseryl-tRNA(Sec) selenium transferase	Sepsecs	5	3780390	3979200	4562220	6790610		2322010	3005340	5785360	5262970
P35276;P62835;Q99JI6	Ras-related protein Rab-3D	Rab3d;Rap1a;Rap1b	1	4038560	3973570	5581270	3087080		4422070	3815050	4104220	4684150
A6X919	Probable C-mannosyltransferase DPY19L1	Dpy19l1	23	3656990	3969220	3608860	3829740		3113560	3411590	3132610	4096390
Q9DCG9	Multifunctional methyltransferase subunit TRM112-like protein	Trmt112	4	6597060	3965600	5880090	3357550		5626120	6608780	4248910	4631780
Q8BRH0	Protein O-mannosyl-transferase TMTC3	Tmtc3	25	3953510	3964850	4539380	4272540		4218090	3705470	4254730	4215790
Q8BHY2	Nucleolar complex protein 4 homolog	Noc4l	15	3517660	3963360	4003100	4090440		3516350	3472170	3251560	3962210
O88207	Collagen alpha-1(V) chain	Col5a1	22	2213470	3962780	1518660	1144320		2411770	3795950	1463190	1181620
Q3UPF5	Zinc finger CCCH-type antiviral protein 1	Zc3hav1	36	4035580	3961820	3958250	4071320		4206560	4224530	3428760	3967560
Q9DBR7	Protein phosphatase 1 regulatory subunit 12A	Ppp1r12a	45	4375010	3957900	4767780	4591020		4130150	3980030	4542300	4260900
Q9D8Y1	Transmembrane protein 126A	Tmem126a	5	3637070	3957670	5848860	6734740		3942480	4014030	5703050	5675850
P97863	Nuclear factor 1 B-type	Nfib	4	4312070	3955570	4074230	4027480		4272650	3383420	4528270	3579980
Q8BGC0	HIV Tat-specific factor 1 homolog	Htatsf1	25	5080540	3953170	4763060	4074470		4055880	4169780	4247720	3384010
Q61036	Serine/threonine-protein kinase PAK 3	Pak3	9	2826720	3952190	2136110	3833000		3134150	3680780	1389250	3818830
Q9D071	MMS19 nucleotide excision repair protein homolog	Mms19	42	3325670	3951160	3930840	4124730		3761540	3700200	3205460	3833260
Q7TNC4;Q9CYI4	Putative RNA-binding protein Luc7-like 2	Luc7l;Luc7l2	6	4491790	3950330	4163220	3544790		4528340	4482090	2377000	3558700
Q8BPG6	Inactive C-alpha-formylglycine-generating enzyme 2	Sumf2	9	3818090	3941430	3992870	4090910		3218070	3333350	3571370	3341810
Q9ES28	Rho guanine nucleotide exchange factor 7	Arhgef7	28	3684490	3941310	3823210	4707790		3560870	3621910	3850840	4337920
O35218	Cleavage and polyadenylation specificity factor subunit 2	Cpsf2	30	3685420	3937710	4268190	4135200		3277240	4045470	3773840	4090170
Q9R257	Heme-binding protein 1	Hebp1	7	4283140	3935890	4044550	3681160		4428090	3866160	3696860	3801030
P83940	Elongin-C	Eloc	9	6306310	3931900	5500210	3276830		5884380	5192480	3936540	4544630
Q8BXC6	COMM domain-containing protein 2	Commd2	9	2022250	3917010	2635940	3757440		2774890	3527970	3027160	4429210
Q5SYD0	Unconventional myosin-Id	Myo1d	51	3229580	3915400	5027550	4336590		3331800	3385870	5094960	4814620
Q3UMU9;Q9JMG7	Hepatoma-derived growth factor-related protein 2	Hdgfl2;Hdgfl3	1	544884	3914020	4153970	4063120		1310520	3370090	5550780	3712570
P54923	[Protein ADP-ribosylarginine] hydrolase	Adprh	16	4040320	3908630	3993190	4427060		4083640	3994020	3887050	4595220
Q8K2F8	Protein LSM14 homolog A	Lsm14a	10	4631020	3904030	4599250	2867850		3813470	3669890	3928380	2561290
Q9Z255	Ubiquitin-conjugating enzyme E2 A	Ube2a	2	2427550	3901660	3227380	2915400		2420340	4032820	2020060	3153750
P28667	MARCKS-related protein	Marcksl1	2	4285800	3901160	2287770	3633850		4098210	3979240	2594800	3743680
P57716	Nicastrin	Ncstn	8	3438900	3895390	3702140	5326920		3424480	4139490	3496770	4875800
Q8VE22	"28S ribosomal protein S23, mitochondrial"	Mrps23	8	3950890	3893450	5356030	5165120		3413670	4033000	5395290	4904200
P61226;Q80ZJ1;Q8BU31	Ras-related protein Rap-2b	Rap2a;Rap2b;Rap2c	4	3296190	3893180	5462300	4383160		3873940	3583350	5269490	4558540
P12382;P47857	"ATP-dependent 6-phosphofructokinase, liver type"	Pfkl;Pfkm	2	5699020	3891990	3721300	2858540		6348020	4939000	9783580	3393900
Q9ESC8;Q9WV02	AF4/FMR2 family member 4	Aff4;Rbmx	1	2220890	3891000	3874750	1435300		2439000	2520580	3395150	977511
Q62383	Transcription elongation factor SPT6	Supt6h	56	3035840	3890810	3103590	3602040		3066210	3440110	2759800	3447600
O88477;Q9CPN8	Insulin-like growth factor 2 mRNA-binding protein 1	Igf2bp1;Igf2bp3	1	5094580	3889090	4926300	3070430		5800410	4584240	4637600	3739820
Q8BYY4	Tetratricopeptide repeat protein 39B	Ttc39b	21	2557110	3887110	2657330	4005960		2905700	3707220	2451990	3980190
Q8C7V3	U3 small nucleolar RNA-associated protein 15 homolog	Utp15	21	3471950	3885880	4130130	3631930		3277600	3671330	3388920	3564960
O88952	Protein lin-7 homolog C	Lin7c	8	4633980	3883660	4463920	3653940		5141530	5281400	4409230	3991570
Q3TIV5	Zinc finger CCCH domain-containing protein 15	Zc3h15	21	3658950	3881810	3076980	3938680		3178780	3568120	2956760	3509910
P27641	X-ray repair cross-complementing protein 5	Xrcc5	27	4332600	3878780	4268950	4530620		4451580	4252770	4181700	4501250
P29595	NEDD8	Nedd8	4	4484240	3877840	6055280	6394660		4495150	2815520	4296160	7730970
P59017	Bcl-2-like protein 13	Bcl2l13	9	4400170	3876150	5208480	4704490		4478330	4327180	5705810	5154230
P39447;Q9Z0U1	Tight junction protein ZO-1	Tjp1;Tjp2	1	3604630	3867780	2188930	2157560		3899190	3104790	1562730	1766400
Q9CZ42	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Naxd	13	3486370	3865340	3983210	3340450		3548670	3450630	3992820	3648690
P29533	Vascular cell adhesion protein 1	Vcam1	36	5248920	3864610	9123470	6980850		5294140	3713590	7804950	6768370
Q6NZR5	Superkiller viralicidic activity 2-like (S. cerevisiae)	Skiv2l	43	4358490	3860250	5099680	4743810		4337060	4189480	4347630	5244030
Q8C0E2	Vacuolar protein sorting-associated protein 26B	Vps26b	16	4166650	3860100	4144670	4381350		4002930	4201870	3908470	4191990
Q61390	T-complex protein 1 subunit zeta-2	Cct6b	2	4533100	3859300	3583190	4376890		4089760	3913620	3304160	4615570
P47740	Aldehyde dehydrogenase family 3 member A2	Aldh3a2	17	4148810	3858770	5186660	5254410		3722750	3438700	4369650	5030030
O55101	Synaptogyrin-2	Syngr2	1	4484010	3856420	4318910	2649360		4326520	4022820	3459800	3395870
Q9Z0U1	Tight junction protein ZO-2	Tjp2	42	3624380	3849790	3517060	5016910		3455610	4319350	3421270	5020470
Q8BHG2	CXXC motif containing zinc binding protein	Czib	10	3249060	3848650	3809360	4388770		3124110	3246810	3724350	4113850
P56212;P60840	cAMP-regulated phosphoprotein 19	Arpp19;Ensa	2	3846250	3847240	4389590	6737760		4153470	3415110	4636440	7774750
Q9Z1K5	E3 ubiquitin-protein ligase ARIH1	Arih1	23	3939240	3835110	4265340	3313720		3870000	4393420	3335970	3886510
Q9D8M4	60S ribosomal protein L7-like 1	Rpl7l1	11	2919190	3831780	2943860	4187470		2730190	3657170	2790160	3456480
Q6P9P6	Kinesin-like protein KIF11	Kif11	42	3575030	3827310	2057340	3560960		3561830	4266980	2061180	3353740
Q8CI11	Guanine nucleotide-binding protein-like 3	Gnl3	32	4048560	3825900	4707930	3745860		3659560	4045100	3989070	3499570
Q8C5Q4	G-rich sequence factor 1	Grsf1	21	3464400	3823030	3251120	4072950		3495030	3866210	3005210	3333810
P52875	Transmembrane protein 165	Tmem165	6	4661380	3822030	6688140	4643690		3113220	3180400	4740970	5288980
Q3UVL4	Vacuolar protein sorting-associated protein 51 homolog	Vps51	28	2975750	3821800	3087880	3419270		3080610	3545570	2636350	3746490
Q91YP3	Deoxyribose-phosphate aldolase	Dera	16	4111480	3818810	3519720	3968430		3916710	3859630	2768830	3956760
Q9CQD4	Charged multivesicular body protein 1b-2	Chmp1b2	3	3530930	3815050	2295430	2568900		3459630	3707190	2101760	1890210
O35900	U6 snRNA-associated Sm-like protein LSm2	Lsm2	8	4102090	3813650	3964440	3160870		3633120	3237910	3294350	3446650
P47968	Ribose-5-phosphate isomerase	Rpia	13	2945530	3813020	2991920	3909480		3805420	3679270	3274320	4241250
P46735	Unconventional myosin-Ib	Myo1b	43	3883920	3811740	4145390	4348540		3969970	3942980	3794640	4429730
Q6PD26	GPI transamidase component PIG-S	Pigs	22	4076980	3810430	4520510	4548020		3581560	3805440	4460110	4256570
P62838	Ubiquitin-conjugating enzyme E2 D2	Ube2d2	1	4314410	3809470	3169270	3012550		4543150	3982040	3035320	2771210
P49586	Choline-phosphate cytidylyltransferase A	Pcyt1a	13	3442720	3808240	3476580	3320940		3491030	3166300	4017290	3373240
Q91YU8	Suppressor of SWI4 1 homolog	Ppan	15	3506600	3805900	3649160	4408400		3255750	3416980	3189230	3908660
Q3U821	WD repeat-containing protein 75	Wdr75	28	2239650	3803850	3707670	3608540		2290640	2945210	3030450	3574360
Q8BYA0	Tubulin-specific chaperone D	Tbcd	45	4150660	3802980	4184150	3693430		4256270	3865570	3446970	4013250
Q9DB25	Dolichyl-phosphate beta-glucosyltransferase	Alg5	11	2957210	3802430	3889750	4451170		3193250	3298970	4308530	4091650
P56183	Ribosomal RNA processing protein 1 homolog A	Rrp1	17	3652450	3802110	3494690	4626320		3364230	3822980	3460120	4467740
Q9JHS4	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"	Clpx	25	4031510	3801310	4372900	4379720		4099980	3636050	3796930	4061760
P61022	Calcineurin B homologous protein 1	Chp1	9	4007170	3799220	3718770	2912500		3776620	3704720	3289890	2798030
Q9QUI0	Transforming protein RhoA	Rhoa	4	5305510	3798780	6443030	3174830		3918050	4719240	6169670	2910600
P43275	Histone H1.1	H1-1	3	6462680	3798610	6733230	4976600		6918880	800949	6928480	4604880
P13011;P13516	Stearoyl-CoA desaturase 2	Scd1;Scd2	1	3296740	3796660	2817520	4830570		3530940	3959630	2303760	4727060
Q9Z0Y1	Dynactin subunit 3	Dctn3	9	4402230	3795820	4260700	4919880		4733000	4032810	3862030	5108870
Q3UM45	Protein phosphatase 1 regulatory subunit 7	Ppp1r7	17	4485360	3795090	4684190	4231760		4461460	4072450	4555310	4111480
P70279	Surfeit locus protein 6	Surf6	17	4516480	3792740	3868400	3917320		3842670	3530430	3476480	3482450
Q8C079	Striatin-interacting protein 1	Strip1	25	3379090	3791970	4330350	3872720		3454070	4000440	4130490	4126510
